pv("M0" "ids" ?result "dcOpInfo-info") X,pv("M0" "ids" ?result "dcOpInfo-info") Y,(pv("M0" "gm" ?result "dcOpInfo-info") / pv("M0" "ids" ?result "dcOpInfo-info")) X,(pv("M0" "gm" ?result "dcOpInfo-info") / pv("M0" "ids" ?result "dcOpInfo-info")) Y
0,1.624792061045551e-11,0,27.20251280252829
0.08421053000000001,1.602342822648414e-10,0.08421053000000001,27.14233763503625
0.1684211,1.565504730609767e-09,0.1684211,26.95869749589423
0.2526316,1.48785666728146e-08,0.2526316,26.43356301320592
0.3368421,1.31600948794622e-07,0.3368421,25.19233001480735
0.4210526,1.014097352245531e-06,0.4210526,23.20899735809371
0.5052632,6.310222220068815e-06,0.5052632,19.72524804701062
0.5894737,2.597917800863052e-05,0.5894737,13.73183472725043
0.6736842,6.59257010996494e-05,0.6736842,8.767143165781402
0.7578947,0.0001209128287021242,0.7578947,5.929502181699436
0.8421052999999999,0.0001854513866511035,0.8421052999999999,4.374619663752898
0.9263158,0.0002570012799318937,0.9263158,3.445452969951328
1.010526,0.0003341988787411797,1.010526,2.830003648322572
1.094737,0.0004159365611012675,1.094737,2.38846513826439
1.178947,0.0005011889508607796,1.178947,2.054018158908886
1.263158,0.0005890272737670708,1.263158,1.791270116554398
1.347368,0.0006786423931555753,1.347368,1.579473971951425
1.431579,0.0007693491482918723,1.431579,1.405425260995951
1.515789,0.0008605778117176805,1.515789,1.260193233193406
1.6,0.0009518601498560826,1.6,1.137465915817259
